SkripsiAbstrak,SkripsiAuthor,SkripsiTitle,SkripsiURI,SkripsibyDate,SkripsibyKeyword
Berbagai sistem informasi mulai berkembang saat ini dan dibutuhkan diberbagai aspek kehidupan.Tidak terkecuali sistem informasi akademik sebagi sistem pendukung kegiatan organisasi.yang berada dilingkungan universitas khususnya SIM@K fakultas ilmu Tarbiyahdan keguruan (FITK) Universitas Islam Negeri Syraif Hidayatullah Jakarta Dimana aplikasi ini merupakan sistem yang meberikan informsi akademik juga tidak luput dari perobahan-perobahan ataupun kustomisasi sesuai dengan perubahan kebutuhan bisnisnya serta belum adanya dokumentasi sistem.,"Karima,  Inna Sabily,Sukmana, Husni Teja",Rekayasa balik (reverse engineering sistem informasi akademik (SIM@K) dengan pendekatan model based design : studi kasus fak.tarbiyah dan keguruan (fitk) uin syarif hidayatullah,"/dspace/browse?type=author&value=Karima%2C++Inna+Sabily,/dspace/browse?type=author&value=Sukmana%2C+Husni+Teja,http://repository.uinjkt.ac.id/dspace/handle/123456789/856,/dspace/handle/123456789/160",5-Oct-2012,model based design;sistem informasi akademik;rekayasa balik
"xviii, 170 hal.; 28 cm.","Utari, Fitria Yuni,Dr.Eko Syamsuddin H, M.Eng",Perancangan dan implementasi computer assisted instruction mata pelajaran Biologi tentang virus berbasis multimedia tiga dimensi (untuk kelas X Sekolah Menengah Umum),"/dspace/browse?type=author&value=Utari%2C+Fitria+Yuni,/dspace/browse?type=author&value=Dr.Eko+Syamsuddin+H%2C+M.Eng,http://repository.uinjkt.ac.id/dspace/handle/123456789/1138,/dspace/handle/123456789/160",5-Oct-2012,biologi.;multimedi;cd interaktif;computer assisted instruction
"iii, 150 hal.; 28 cm.","Nurhasanah, Siti,Hulliyah, Khodijah","Pengembangan sistem informasi muzaki menggunakan pendekatan berorintasi objek studi kasus Lembaga Amil Zakat, Infaq, Shadaqoh DDII","/dspace/browse?type=author&value=Nurhasanah%2C+Siti,/dspace/browse?type=author&value=Hulliyah%2C+Khodijah,http://repository.uinjkt.ac.id/dspace/handle/123456789/297,/dspace/handle/123456789/160",5-Oct-2012,unified modelling language (uml);rapid application development (rad);pendekatan berorientasi objek;lazis dewan da'wah;sistem informasi muzaki
,"Asep Irna Yuliana,Qurrotul Aini",Pengembangan Aplikasi Kamus Istilah Psikologi Berbasis Mobile (Studi Kasus: Fakultas Psikologi),"/dspace/browse?type=author&value=Asep+Irna+Yuliana,/dspace/browse?type=author&value=Qurrotul+Aini,http://repository.uinjkt.ac.id/dspace/handle/123456789/26950,/dspace/handle/123456789/160",UIN Syarif Hidayatullah Jakarta : Fak Sains dan Teknologi 2014,26-Jun-2015
,"Ahmad Fauzie,Syopiansyah Jaya Putra",Analisis penerapan firewall sebagai sistem keamanan jaringan pada PT. PLN (Persero) penyaluran dan pusat pengatur beban Jawa - Bali (P3B),"/dspace/browse?type=author&value=Ahmad+Fauzie,/dspace/browse?type=author&value=Syopiansyah+Jaya+Putra,http://repository.uinjkt.ac.id/dspace/handle/123456789/24457,/dspace/handle/123456789/160",1-Jul-2014,Firewall;Penyaluran dan Pusat Pengatur Beban (P3B)
"ABSTRAK
Transformasi pengajaran dengan menggunakan kemajuan teknologi pendidikan dapat membantu tugas pendidik
sebagai tenaga pendidik dan membantu menumbuhkan minat belajar secara mandiri. Salah satunya yaitu dengan
menggunakan metode pengajaran secara multimedia. Untuk memenuhi kebutuhan akan aplikasi yang bersifat edukasi, penulis
membuat aplikasi Interactive Multimedia yang berisikan program pendidikan berupa Pembelajaran interaktif untuk bidang
studi IPA mengenai kekayaan fauna yang ada di Indonesia. Sehingga informasi mengenai kekayaan fauna Indonesia yang
begitu banyaknya dapat diserap oleh user yang sangat diperlukan oleh user (hal ini dibuktikan dengan hasil kuisioner yang
penulis lakukan di Sekolah Tingkat Pertama Budi Mulia Ciledug). Dengan menggunakan metode penelitian seperti studi
pustaka, kuisioner dan interview serta di dukung dengan metode pengembangan aplikasi berbasis multimedia. Aplikasi
Pembelajaran interaktif ini dibuat menggunakan metode pengembangan multimedia menurut Luther yang terdiri dari enam
tahap, yaitu concept, design, material collecting, assembly, testing, dan implementasi.dan membuat aplikasi database ini
menggunakan bahasa pemograman PHP (Hypertext Preprocessor) dan MySql sebagai alat bantu databasenya. Untuk
visualisasi objek, penulis mengkhususkan membuat objek secara 3 Modelling menggunakan 3D Max. Dari hasil yang dicapai
oleh penulis, Aplikasi ini adalah sebuah alat bantu yang mudah digunakan oleh user dan dapat memberikan informasi tentang
kekayaan fauna yang dimiliki oleh Indonesia. Karena aplikasi ini masih dalam bentuk rancangan aplikasi awal, maka
database yang penulis tampilkan hanya lima fauna saja mewakili kelasnya masing-masing. Untuk pengembangan selanjutnya
diharapkan dapat ditambahkan lagi database fauna Indonesia. Dapat diakses langsung dari internet atau intranet sehingga
user yang menggunakan aplikasi ini mendapatkan informasi yang lebih banyak lagi.
Keyword : Interaktif Multimedia, Pembelajaran, 3 Modelling","Heriyani, Nofitri,Daryanto, Tri",Aplikasi pembelajaran interaktif fauna Indonesia berbasis multimedia 3 dimensi,"/dspace/browse?type=author&value=Heriyani%2C+Nofitri,/dspace/browse?type=author&value=Daryanto%2C+Tri,http://repository.uinjkt.ac.id/dspace/handle/123456789/220,/dspace/handle/123456789/160",5-Oct-2012,3 Demensi-Interaktif Multimedia-Pembelajaran-Aplikasi
"Dalam identifikasi keris jawa masih terdapat keracuan dan kurangnya
pakar dalam perkerisan, maka di butuhkan sistem pakar untuk membantu dalam
memecahkan masalah. Karena pemecahan masalah tersebut dapat dilakukan
dengan mengembangkan sistem yang dapat berperan sebagai seorang ahli.
Dengan kata lain terjadi pemindahan atau proses pengolahan informasi bersifat
heuristic yang artinya membangun dan mengoperasikan basis pengetahuan yang
berisi fakta beserta penalarannya. Dalam hal ini prosesnya disebut knowledge
engineering yaitu penyerapan basis pengetahuan dari seorang pakar ke sebuah
komputer. Fakta-fakta yang diperoleh dari pengetahuan seorang ahli disimpan
dalam suatu basis pengetahuan. Dengan bantuan mesin inferensi dan memori
kerja. Proses penarikan kesimpulan tentang dapur, jenis luk,tangguh dan nama
keris.Berdasarkan Kategori bidang yang sesuai, sistem pakar ini termasuk jenis
diagnosisi, yaitu mengecek ricikan dan jenis luk yang ada dan memberikan
kesimpulan tentang dapur, jenis luk, tangguh dan nama keris. Pada penelitian ini
dibuat sistem pakar menggunakan forward chaining dengan menggunakan metode
Certainty Factor (CF) atau faktor kepastian untuk identifikasi bentuk keris
jawa.Sistem ini dapat memberikan diagnosa awal dari bentuk keris jawa. dari
ricikan dan jenis luk yang ada, tanpa harus bertanya langsung ke pakar. Hasil
penelitian menunjukkan bahwa CF dapat digunakan sebagai cara untuk mengatasi
ketidakpastian untuk kasus identifikasi bentuk keris jawa.","Kasmui,Husni Teja Sukaman",Sistem pakar identifikasi bentuk keris jawa dengan metode CF ( Certainty Factor),"/dspace/browse?type=author&value=Kasmui,/dspace/browse?type=author&value=Husni+Teja+Sukaman,http://repository.uinjkt.ac.id/dspace/handle/123456789/267,/dspace/handle/123456789/160",5-Oct-2012,Luk.;Heuristic;Knowledge Engineering;CF (Certainy Factor)
,"USWATUN HASANAH,Anif Hanifah",Software Pengenal Pola Pamor Keris Jawa Dengan Mengimplementasikan Kohonen Neural Network,"/dspace/browse?type=author&value=USWATUN+HASANAH,/dspace/browse?type=author&value=Anif+Hanifah,http://repository.uinjkt.ac.id/dspace/handle/123456789/26982,/dspace/handle/123456789/160",UIN Syarif Hidayatullah Jakarta : Fak. Sains dan Teknologi 2014,29-Jun-2015
,"Yudha Satyagama,Fahrianto",Implementasi Ltsp( Linux Terminal Server Project) Pada Warnet Tis Skala Medium,"/dspace/browse?type=author&value=Yudha+Satyagama,/dspace/browse?type=author&value=Fahrianto,http://repository.uinjkt.ac.id/dspace/handle/123456789/26983,/dspace/handle/123456789/160","Implementasi LTSP (Linux Tem1inal Server Project) di warnet TIS adalah untuk
mencari penyempumaan dari kekurangan sistem yang tidak memi!iki disk drive
pada workstation hanya tampilan mode teks layar. Tahap konstruksi dimulai dari
perangkat keras, pengumpulan data dan spesifikasi perangkat lunak yang
digunakan oleh server dan workstation, instalasi paket-paket yang dibutuhkan
oleh Linux Terminal Server Project Proyek Linux Terminal Server
pengkonfigurasian pada computer server dan menguji koneksi antara server dan
workstation.",29-Jun-2015
,"Yuliana Rahmawati,Arini",Apliksi resep pembuatan cake 3D berbasis Multimedia interaktif,"/dspace/browse?type=author&value=Yuliana+Rahmawati,/dspace/browse?type=author&value=Arini,http://repository.uinjkt.ac.id/dspace/handle/123456789/26984,/dspace/handle/123456789/160","Kemajuan teknologi yang terus berkembang menuju zaman yang modem
berteknologi tinggi ini telah membawa dampak besar dalam kehidupan, karena
dorongan kebutuhan hidup manusia yang terus bertambah. Dorongan kebutuhan
tersebut menuntut manusia menciptakan inovasi baru yang diharapkan dapat
meringankan segala aktifitas kehidupan manusia. (Ferdinata, 2013:2). Dunia
makanan atau yang lebih dikenal masyarakat dengan nama kuliner pada saat ini
seclang dalam masa ke emasannya, dapat dilihat clari banyaknya bermunculan
program-program acara televisi yang berunsur kuliner di berbagai stasiun televisi,
mulai dari acara perlombaan masak-memasak, panduan memasak yang bisa
mengajarkan earn memasak hingga wisata kuliner yang memberikan infonnasi
masakan unik yang belum pemah diketahui.",29-Jun-2015
